row_no,model_no,material,metal_finish,stone,size,weight_g,qty,unit_price_usd,total_price_usd,raw_desc
117,ORCB38,925 Sterling Silver+Enamel,Metal:Oxidized Silver+Highly,Stone:NA / Enamel:Light Blue,10mm,2.3,10,4.92,49.20,925 Sterling Silver+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:NA / Enamel:Light Blue | 10mm
118,ORCB39,925 Sterling Silver+AAAA,Metal:Oxidized Silver+Highly,CZ+Enamel,10mm,2.3,10,5.36,53.60,925 Sterling Silver+AAAA | CZ+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone: White / Enamel:Light Blue | 10mm
119,ORCB40,925 Sterling Silver+Enamel,Metal:Oxidized Silver+Highly,Stone:NA / Enamel:Red,26mm,1.8,10,4.27,42.70,925 Sterling Silver+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:NA / Enamel:Red | 26mm
120,ORCB41,925 Sterling Silver+Enamel,Metal:Oxidized Silver+Highly,Stone:NA / Enamel: Blue,24mm,2.4,9,5.58,50.22,925 Sterling Silver+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:NA / Enamel: Blue | 24mm
121,ORCB42,925 Sterling Silver+Enamel,Metal:Oxidized Silver+Highly,Stone:NA / Enamel:Pink,30mm,1.6,10,4.16,41.60,925 Sterling Silver+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:NA / Enamel:Pink | 30mm
122,ORCB43,925 Sterling Silver+AAAA,Metal:Oxidized Silver+Highly,CZ+Enamel,20mm,1.7,10,4.05,40.50,925 Sterling Silver+AAAA | CZ+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:White / Enamel:Pink | 20mm
123,ORCB44,925 Sterling Silver+AAAA CZ,Metal:Oxidized Silver+Highly,Stone:Pink,20mm,1.7,10,4.92,49.20,925 Sterling Silver+AAAA CZ | Metal:Oxidized Silver+Highly | Polishing | Stone:Pink | 20mm
124,ORCB45,925 Sterling Silver+AAAA,Metal:Oxidized Silver+Highly,CZ+Enamel,26mm,2.1,10,4.81,48.10,925 Sterling Silver+AAAA | CZ+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:White / Enamel:Pink | 26mm
125,ORCB46,925 Sterling Silver+Enamel,Metal:Oxidized Silver+Highly,Stone:NA / Enamel:Black,27mm,2.1,10,5.14,51.40,925 Sterling Silver+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:NA / Enamel:Black | 27mm
126,ORCB47,925 Sterling Silver+Enamel,Metal:Oxidized Silver+Highly,Stone:NA / Enamel:Brown,25mm,2.2,10,4.48,44.80,925 Sterling Silver+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:NA / Enamel:Brown | 25mm
127,ORCB48,925 Sterling Silver+AAAA,Metal:Oxidized Silver+Highly,CZ+Enamel,27mm,3.7,10,7.22,72.20,925 Sterling Silver+AAAA | CZ+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:Blue / Enamel:Light Blue | 27mm
128,ORCB49,925 Sterling Silver+AAAA CZ,Metal:Oxidized Silver+Highly,Stone:White,22mm,3.1,10,6.34,63.40,925 Sterling Silver+AAAA CZ | Metal:Oxidized Silver+Highly | Polishing | Stone:White | 22mm
129,ORCB50,925 Sterling Silver+AAAA CZ,Metal:Oxidized Silver+Highly,Stone:Blue & Orange,11mm,2.6,10,6.23,62.30,925 Sterling Silver+AAAA CZ | Metal:Oxidized Silver+Highly | Polishing | Stone:Blue & Orange | 11mm
130,ORCB51,925 Sterling Silver,Metal:Oxidized Silver+Highly,,12mm,4.1,10,7.88,78.80,925 Sterling Silver | Metal:Oxidized Silver+Highly | Polishing | Stone:NA | 12mm
131,ORCB52,925 Sterling Silver+AAAA,Metal:Oxidized Silver+Highly,CZ+Enamel,22mm,1.2,10,4.16,41.60,925 Sterling Silver+AAAA | CZ+Enamel | Metal:Oxidized Silver+Highly | Polishing | Stone:White / Enamel:Pink&White | 22mm
132,ORCB53,925 Sterling Silver+AAAA CZ+Shell,Metal:Oxidized Silver+Highly,Stone:White,24mm,2.2,10,5.47,54.70,925 Sterling Silver+AAAA CZ+Shell | Pearl | Metal:Oxidized Silver+Highly | Polishing | Stone:White | 24mm
133,ORCB54,925 Sterling Silver+AAAA CZ+Shell,Metal:Oxidized Silver+Highly,Stone:Black,23mm,2.6,10,5.91,59.10,925 Sterling Silver+AAAA CZ+Shell | Pearl | Metal:Oxidized Silver+Highly | Polishing | Stone:Black | 23mm
134,ORCB55,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Muti-color,30mm,1.83,10,5.35,53.50,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Muti-color | 30mm
135,ORCB56,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Muti-color,12mm,2.2,10,5.28,52.80,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Muti-color | 12mm
136,ORCB58,925 Sterling Silver,Metal: Rhodium Plated,,25mm,1.3,9,4.01,36.09,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 25mm
137,ORCB59,925 Sterling Silver+ Enamel,Metal: Rhodium Plated,,11mm,2.07,10,4.27,42.70,925 Sterling Silver+ Enamel | Metal: Rhodium Plated | Stone: NA | 11mm
138,ORCB60,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,+Enamel,11mm,3.1,10,5.49,54.90,925 Sterling Silver + AAAA CZ | +Enamel | Metal: Rhodium Plated | Stone: Blue+White | 11mm
139,ORCB61,925 Sterling Silver,Metal: Rhodium Plated,,18mm,1.8,10,4.33,43.30,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 18mm
140,ORCB62,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White,25mm,2.3,10,5.62,56.20,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White | 25mm
141,ORCB63,925 Sterling Silver,Metal: Rhodium Plated,,10mm,2.17,10,4.77,47.70,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 10mm
142,ORCB64,925 Sterling Silver+Enamel,Metal: Rhodium Plated,,12mm,2.57,10,5.46,54.60,925 Sterling Silver+Enamel | Metal: Rhodium Plated | Stone: NA | 12mm
143,ORCB65,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,+Enamel,30mm,1.95,10,5.64,56.40,925 Sterling Silver + AAAA CZ | +Enamel | Metal: Rhodium Plated | Stone: White | 30mm
144,ORCB66,925 Sterling Silver+ Enamel,Metal: Rhodium Plated,,20mm,0.9,8,3.50,28.00,925 Sterling Silver+ Enamel | Metal: Rhodium Plated | Stone: NA | 20mm
145,ORCB67,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White,20mm,0.98,10,3.88,38.80,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White | 20mm
146,ORCB70,925 Sterling Silver+ Enamel,Metal: Rhodium Plated,,12mm,2.57,10,5.35,53.50,925 Sterling Silver+ Enamel | Metal: Rhodium Plated | Stone: NA | 12mm
147,ORCB71,925 Sterling Silver+ Enamel,Metal: Rhodium Plated,,20mm,1.55,10,4.13,41.30,925 Sterling Silver+ Enamel | Metal: Rhodium Plated | Stone: NA | 20mm
148,ORCB73,925 Sterling Silver+ Enamel,Metal: Rhodium Plated,,11mm,2.28,10,4.59,45.90,925 Sterling Silver+ Enamel | Metal: Rhodium Plated | Stone: NA | 11mm
149,ORCB74,925 Sterling Silver+ Enamel,Metal: Rhodium Plated,,14mm,2.9,10,5.13,51.30,925 Sterling Silver+ Enamel | Metal: Rhodium Plated | Stone: NA | 14mm
150,ORCB76,925 Sterling Silver+ Enamel,Metal: Rhodium Plated,,14mm,3.9,7,7.34,51.38,925 Sterling Silver+ Enamel | Metal: Rhodium Plated | Stone: NA | 14mm
151,ORCB77,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,+Enamel,12mm,4.56,10,7.22,72.20,925 Sterling Silver + AAAA CZ | +Enamel | Metal: Rhodium Plated | Stone: Blue | 12mm
152,ORCB78,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: white,10mm,2.07,10,5.80,58.00,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: white | 10mm
153,ORCB79,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: white,12mm,5,10,9.30,93.00,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: white | 12mm
154,ORCB80,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Blue,21mm,2,10,4.87,48.70,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 21mm
155,ORCB81,925 Sterling Silver + AAAA,Metal: Rhodium Plated,CZ+Enamel,9mm,2.35,10,4.59,45.90,925 Sterling Silver + AAAA | CZ+Enamel | Metal: Rhodium Plated | Stone: White | 9mm
156,ORCB82,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Muti-color,9mm,2.35,10,5.50,55.00,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Muti-color | 9mm
157,ORCB83,925 Sterling Silver + AAAA,Metal: Rhodium Plated,CZ+Enamel,12mm,2.5,10,5.21,52.10,925 Sterling Silver + AAAA | CZ+Enamel | Metal: Rhodium Plated | Stone: White | 12mm
158,ORCB84,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Purple,16mm,2.5,10,4.87,48.70,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Purple | 16mm
159,ORCB85,925 Sterling Silver + Enamel,Metal: Rhodium Plated,,11mm,2.5,10,4.81,48.10,925 Sterling Silver + Enamel | Metal: Rhodium Plated | Stone: NA | 11mm
160,ORCB86,925 Sterling Silver + Enamel,Metal: Rhodium Plated,,21mm,2.3,10,5.69,56.90,925 Sterling Silver + Enamel | Metal: Rhodium Plated | Stone: NA | 21mm
161,ORCB88,925 Sterling Silver,Metal: Rhodium Plated,,12mm,2,10,3.36,33.60,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 12mm
162,ORCB89,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Blue+Red,22mm,3,10,5.88,58.80,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Blue+Red | 22mm
163,ORCB100,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White+Purple,8mm,2.5,9,6.25,56.25,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White+Purple | 8mm
164,ORCB101,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Muti-color,8mm,2.8,10,7.02,70.20,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Muti-color | 8mm
165,ORCB102,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White+Purple,10mm,2.5,10,6.46,64.60,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White+Purple | 10mm
166,ORCB103,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Muti-color,22mm,2.8,10,7.02,70.20,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Muti-color | 22mm
167,ORCB104,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White+Red,15mm,3,8,6.00,48.00,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White+Red | 15mm
168,ORCB106,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White+Pink,13mm,2.5,10,5.17,51.70,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White+Pink | 13mm
169,ORCB107,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White+Blue,11mm,2.5,9,6.13,55.17,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White+Blue | 11mm
170,ORCB108,925 Sterling Silver,Metal: Rhodium Plated,,21mm,1.5,10,4.26,42.60,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 21mm
171,ORCB110,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Pink,17mm,3.8,10,6.13,61.30,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 17mm
172,ORCB111,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White,12mm,2.2,10,5.46,54.60,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White | 12mm
173,ORCB113,925 Sterling Silver + Enamel,Metal: Rhodium Plated,,13mm,2.2,10,6.30,63.00,925 Sterling Silver + Enamel | Metal: Rhodium Plated | Stone: NA | 13mm
174,ORCB114,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Pink,10mm,2.2,10,5.19,51.90,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 10mm
175,ORCB115,925 Sterling Silver,Metal: Rhodium Plated,,10mm,2.2,10,5.03,50.30,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 10mm
176,ORCB116,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Blue,12mm,3,10,6.35,63.50,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 12mm
177,ORCB117,925 Sterling Silver + AAAA,Metal: Rhodium Plated,CZ+Enamel,8mm,2.6,10,4.96,49.60,925 Sterling Silver + AAAA | CZ+Enamel | Metal: Rhodium Plated | Stone: White | 8mm
178,ORCB118,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Muti-color,17mm,2.3,7,6.68,46.76,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Muti-color | 17mm
179,ORCB119,925 Sterling Silver,Metal: Rhodium Plated,,10mm,2.2,10,5.58,55.80,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 10mm
180,ORCB120,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White,14mm,1.5,10,5.40,54.00,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White | 14mm
181,ORCB122,925 Sterling Silver + AAAA CZ,Metal: Rose gold Plated,Stone: Black,11mm,2,8,5.25,42.00,925 Sterling Silver + AAAA CZ | Metal: Rose gold Plated | Stone: Black | 11mm
182,ORCB123,925 Sterling Silver,Metal: Rhodium Plated,,15mm,2,10,7.00,70.00,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 15mm
183,ORCB124,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Purple,11mm,2.4,10,7.22,72.20,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Purple | 11mm
184,ORCB125,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White,9mm,2,9,5.03,45.27,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White | 9mm
185,ORCB126,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Green,10mm,1,10,3.43,34.30,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Green | 10mm
186,ORCB127,925 Sterling Silver + Enamel,Metal: Rhodium Plated,,15mm,1.9,10,4.59,45.90,925 Sterling Silver + Enamel | Metal: Rhodium Plated | Stone: NA | 15mm
187,ORCB128,925 Sterling Silver + AAAA,Metal: Rhodium Plated,CZ+Enamel,12mm,2.5,10,6.80,68.00,925 Sterling Silver + AAAA | CZ+Enamel | Metal: Rhodium Plated | Stone: Yellow | 12mm
188,ORCB129,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Blue,7mm,2,9,4.55,40.95,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 7mm
189,ORCB135,925 Sterling Silver,Metal: Rhodium Plated,,16mm,1.8,10,4.97,49.70,925 Sterling Silver | Metal: Rhodium Plated | Stone: NA | 16mm
190,ORCB136,925 Sterling Silver + AAAA,Metal: Rhodium Plated,CZ+Enamel,11mm,2.1,10,4.98,49.80,925 Sterling Silver + AAAA | CZ+Enamel | Metal: Rhodium Plated | Stone: White | 11mm
191,ORCB137,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Muti-color,11mm,3.2,10,6.07,60.70,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Muti-color | 11mm
192,ORCB138,925 Sterling Silver,Metal: Rose gold Plated,,7mm,1.7,10,4.27,42.70,925 Sterling Silver | Metal: Rose gold Plated | Stone: NA | 7mm
193,ORCB139,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Yellow+Green,7mm,3.5,9,8.40,75.60,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Yellow+Green | 7mm
194,ORCB140,925 Sterling Silver + Enamel,Metal: Rhodium Plated,,12mm,2.4,10,4.69,46.90,925 Sterling Silver + Enamel | Metal: Rhodium Plated | Stone: NA | 12mm
195,ORCB142,925 Sterling Silver + Enamel,Metal: Rhodium Plated,,20mm,2.6,10,5.23,52.30,925 Sterling Silver + Enamel | Metal: Rhodium Plated | Stone: NA | 20mm
196,ORCB144,925 Sterling Silver + Enamel,Metal: Rhodium Plated,,15mm,2.7,10,5.69,56.90,925 Sterling Silver + Enamel | Metal: Rhodium Plated | Stone: NA | 15mm
197,ORCB146,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White,11mm,1,10,4.20,42.00,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White | 11mm
198,ORCB149,925 Sterling Silver + Enamel,Metal: Rhodium Plated,,18mm,1.7,10,4.51,45.10,925 Sterling Silver + Enamel | Metal: Rhodium Plated | Stone: NA | 18mm
199,ORCB150,925 Sterling Silver,Metal: 14K gold plated,,10mm,3,9,4.85,43.65,925 Sterling Silver | Metal: 14K gold plated | Stone: NA | 10mm
200,ORCB151,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: White,13mm,1.5,9,5.03,45.27,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: White | 13mm
201,ORCB152,925 Sterling Silver + AAAA CZ,Metal: Rhodium Plated,Stone: Blue,11mm,3,10,6.82,68.20,925 Sterling Silver + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 11mm
202,ORCB153,925 Sterling Silver,Metal: Oxidized Silver,Pink CZ & White CZ + Green Enamel,10.5mm,2.30,10,5.47,54.70,925 Sterling Silver | Metal: Oxidized Silver | Pink CZ & White CZ + Green Enamel | 10.5mm
203,ORCB154,925 Sterling Silver,Metal: Oxidized Silver,Red Enamel,12mm,2.40,10,5.47,54.70,925 Sterling Silver | Metal: Oxidized Silver | Red Enamel | 12mm
204,ORCB155,925 Sterling Silver,Metal: Oxidized Silver,Green & Pink Enamel,12mm,1.80,10,4.59,45.90,925 Sterling Silver | Metal: Oxidized Silver | Green & Pink Enamel | 12mm
205,ORCB156,925 Sterling Silver,Metal: Oxidized Silver,Red CZ,11.5mm,2.30,10,5.03,50.30,925 Sterling Silver | Metal: Oxidized Silver | Red CZ | 11.5mm
206,ORCB157,925 Sterling Silver,Metal: Oxidized Silver,White CZ & Red Enamel,10mm,1.80,9,5.03,45.27,925 Sterling Silver | Metal: Oxidized Silver | White CZ & Red Enamel | 10mm
207,ORCB159,925 Sterling Silver,Metal: Oxidized Silver,Enamel,13mm,2.20,10,5.03,50.30,925 Sterling Silver | Metal: Oxidized Silver | Dark Blue & Light Blue & Black | Enamel | 13mm
208,ORCB160,925 Sterling Silver,Metal: Oxidized Silver,Light Green Enamel,9.5mm,2.10,10,5.03,50.30,925 Sterling Silver | Metal: Oxidized Silver | Black & Brown & Red & Yellow & | Light Green Enamel | 9.5mm
209,ORCB161,925 Sterling Silver,Metal: Oxidized Silver,Red & Pink Enamel,11.5mm,2.40,10,5.47,54.70,925 Sterling Silver | Metal: Oxidized Silver | Red & Pink Enamel | 11.5mm
210,ORCB162,925 Sterling Silver,Metal: Oxidized Silver,Green Enamel,13mm,1.50,9,4.38,39.42,925 Sterling Silver | Metal: Oxidized Silver | Green Enamel | 13mm
211,ORCB163,925 Sterling Silver,Metal: Oxidized Silver,Pink & White CZ + Green & Pink &,18mm,2.20,10,5.47,54.70,925 Sterling Silver | Metal: Oxidized Silver | Pink & White CZ + Green & Pink & | Yellow & Blue Enamel | 18mm
212,ORCB164,925 Sterling Silver,Metal: Oxidized Silver,,9.5mm,2.10,10,4.59,45.90,925 Sterling Silver | Metal: Oxidized Silver | None | 9.5mm
213,ORCB165,925 Sterling Silver,Metal: Oxidized Silver,Milky Pink & Brown Enamel,12.5mm,1.70,10,4.59,45.90,925 Sterling Silver | Metal: Oxidized Silver | Milky Pink & Brown Enamel | 12.5mm
214,ORCB166,925 Sterling Silver,Metal: Oxidized Silver,Green & Orange Enamel,15mm,1.80,10,4.81,48.10,925 Sterling Silver | Metal: Oxidized Silver | Green & Orange Enamel | 15mm
