"sku","product","handle","price","variant"
"ORCB65","Flamingo Charm, Pink","flamingo-charm-pink","39.00","Default Title"
"ORCB71","Key Charm, Red Enamel","key-charm-red-enamel","29.00","Default Title"
"ORCB70","Witch Hat Charm","witch-hat-charm","39.00","Default Title"
"ORCB67","Feather Charm","feather-charm","29.00","Default Title"
"ORCB74","Elephant Charm, Blue Enamel","elephant-charm-blue-enamel","39.00","Default Title"
"ORCB73","Lucky Cat Charm","lucky-cat-charm","39.00","Default Title"
"ORCB78","Mother and Child Charm","mother-and-child-charm","39.00","Default Title"
"ORCB77","Owl Charm, Gold Heart","owl-charm-gold-heart","49.00","Default Title"
"ORCB76","Treasure Chest Charm","treasure-chest-charm","49.00","Default Title"
"ORCB80","Sea Turtle Charm","sea-turtle-charm","39.00","Default Title"
"ORCB79","Safety Chain","safety-chain","49.00","Default Title"
"ORCB82","Rainbow Heart Charm","rainbow-heart-charm","39.00","Default Title"
"ORCB81","I Love You Heart Charm","i-love-you-heart-charm","39.00","Default Title"
"ORCB85","Puppy Face Charm","puppy-face-charm","39.00","Default Title"
"ORCB84","Dog Kennel Charm","dog-kennel-charm","39.00","Default Title"
"ORCB83","Corgi Charm","corgi-charm","39.00","Default Title"
"ORCB88","Faceted Glass Charm, Red","faceted-glass-charm-red","29.00","Default Title"
"ORCB86","Dachshund Charm","dachshund-charm","39.00","Default Title"
"ORGCB06-P","Danish Flag Charm, Pave","danish-flag-charm-pave","49.00","Default Title"
"ORGCB05-P-18","Durian Charm","durian-charm","39.00","Default Title"
"ORCB89","Snowman Charm","snowman-charm","39.00","Default Title"
"ORGCB07-P","Lotus Flower Charm","lotus-flower-charm","39.00","Default Title"
"ORGCB07-18K","Lotus Flower Charm, 18K Gold","lotus-flower-charm-18k-gold","39.00","Default Title"
"ORGCB09-P","Whale Tail Charm","whale-tail-charm","29.00","Default Title"
"ORGCB08-P","Tassel Charm","tassel-charm","39.00","Default Title"
"ORGCB08-18K","Tassel Charm, 18K Gold","tassel-charm-18k-gold","39.00","Default Title"
"ORGCB175","Hans Christian Andersen Charm","top-hat-portrait-charm","39.00","Default Title"
"ORGCB10-P","Royal Guard Charm","royal-guard-charm","39.00","Default Title"
"ORGCB182-2","Aristotle Quote Charm, Happiness","aristotle-quote-charm-happiness","49.00","Default Title"
"ORGCB182-1","Aristotle Quote Charm, Discipline","aristotle-quote-charm-discipline","49.00","Default Title"
"ORGCB182-5","Aristotle Quote Charm, Knowledge","aristotle-quote-charm-knowledge","49.00","Default Title"
"ORGCB182-3","Aristotle Quote Charm, Friendship","aristotle-quote-charm-friendship","49.00","Default Title"
"ORGCB182-8","Aristotle Quote Charm, Wisdom","aristotle-quote-charm-wisdom","49.00","Default Title"
"ORGCB182-7","Aristotle Quote Charm, Purpose","aristotle-quote-charm-purpose","49.00","Default Title"
"ORGCB182-6","Aristotle Quote Charm, Education","aristotle-quote-charm-education","49.00","Default Title"
"ORGCB184-2","Lao Tzu Quote Charm, Freedom","lao-tzu-quote-charm-freedom","49.00","Default Title"
"ORGCB184-1","Lao Tzu Quote Charm, The Journey","lao-tzu-quote-charm-the-journey","49.00","Default Title"
"ORGCB184-5","Lao Tzu Quote Charm, Love","lao-tzu-quote-charm-love","49.00","Default Title"
"ORGCB184-4","Lao Tzu Quote Charm, The Flame","lao-tzu-quote-charm-the-flame","49.00","Default Title"
"ORGCB184-3","Lao Tzu Quote Charm, Silence","lao-tzu-quote-charm-silence","49.00","Default Title"
"ORGCB184-7","Lao Tzu Quote Charm, Calm","lao-tzu-quote-charm-calm","49.00","Default Title"
"ORGCB184-6","Lao Tzu Quote Charm, The Traveller","lao-tzu-quote-charm-the-traveller","49.00","Default Title"
"ORGCB186-2","Engraved Quote Charm, The Mirror","engraved-quote-charm-the-mirror","49.00","Default Title"
"ORGCB186-1","Engraved Quote Charm, A Smile","engraved-quote-charm-a-smile","49.00","Default Title"
"ORGCB185-14K","Lemon Charm, 14K Gold","lemon-charm-14k-gold","49.00","Default Title"
"ORGCB187-14K-2","Engraved Quote Charm, Possible","engraved-quote-charm-possible","39.00","Default Title"
"ORGCB187-14K-1","Engraved Quote Charm, The Moon","engraved-quote-charm-the-moon","39.00","Default Title"
"ORGCB27","Coat of Arms Charm","coat-of-arms-charm","29.00","Default Title"
"ORGCB25","Little Mermaid Charm","little-mermaid-charm","49.00","Default Title"
"ORGCB51-WY","Daisy Charm, White and Yellow","daisy-charm-white-and-yellow","39.00","Default Title"
