sku,product_name,category,price_thb,price_usd,quantity
ORCB60,"Owl Charm, Turquoise",Charms,1200,39.00,10
ORCB61,Origami Crane Charm,Charms,1200,29.00,10
ORCB62,Family Tree Charm,Charms,1200,39.00,10
ORCB63,Puzzle Heart Charm,Charms,1200,39.00,10
ORCB64,Sunglasses and Stiletto Charm,Charms,1200,39.00,10
ORCB65,"Flamingo Charm, Pink",Charms,1200,39.00,10
ORCB66,Violin Charm,Charms,1200,29.00,8
ORCB67,Feather Charm,Charms,1200,29.00,10
ORCB70,Witch Hat Charm,Charms,1200,39.00,10
ORCB71,"Key Charm, Red Enamel",Charms,1200,29.00,10
ORCB73,Lucky Cat Charm,Charms,1200,39.00,10
ORCB74,"Elephant Charm, Blue Enamel",Charms,1200,39.00,10
ORCB76,Treasure Chest Charm,Charms,1200,49.00,7
ORCB77,"Owl Charm, Gold Heart",Charms,1200,49.00,10
ORCB78,Mother and Child Charm,Charms,1200,39.00,10
ORCB79,Safety Chain,Charms,1200,49.00,10
ORCB80,Sea Turtle Charm,Charms,1200,39.00,10
ORCB81,I Love You Heart Charm,Charms,1200,39.00,10
ORCB82,Rainbow Heart Charm,Charms,1200,39.00,10
ORCB83,Corgi Charm,Charms,1200,39.00,10
ORCB84,Dog Kennel Charm,Charms,1200,39.00,10
ORCB85,Puppy Face Charm,Charms,1200,39.00,10
ORCB86,Dachshund Charm,Charms,1200,39.00,10
ORCB88,"Faceted Glass Charm, Red",Charms,1200,29.00,10
ORCB89,Snowman Charm,Charms,1200,39.00,10
ORCB100,"Star Pave Charm, Purple",Charms,1200,39.00,9
ORCB101,Sweet Wrapper Charm,Charms,1200,49.00,10
ORCB102,"Star Charm, Purple Centre",Charms,1200,39.00,10
ORCB103,Rainbow Egg Charm,Charms,1200,49.00,10
ORCB104,"Ribbon Bow Charm, Red Heart",Charms,1200,39.00,8
ORCB106,"Angel Charm, Pink Heart",Charms,1200,39.00,10
ORCB107,Graduation Owl Charm,Charms,1200,39.00,9
ORCB108,"Unicorn Charm, Gold Mane",Charms,1200,29.00,10
ORCB110,Princess Charm,Charms,1200,39.00,10
ORCB111,"Butterfly Charm, Turquoise Spots",Charms,1200,39.00,10
ORCB113,"Puzzle Heart Charm, Multicolour",Charms,1200,39.00,10
ORCB114,Mom Heart Charm,Charms,1200,39.00,10
ORCB115,Stitched Heart Charm,Charms,1200,39.00,10
ORCB116,"Heart Padlock Charm, Blue",Charms,1200,39.00,10
ORCB117,"Frangipani Charm, Yellow",Charms,1200,39.00,10
ORCB118,"Dreamcatcher Charm, Rainbow",Charms,1200,49.00,7
ORCB119,Graduation Charm,Charms,1200,39.00,10
ORCB120,Angel Wing Charm,Charms,1200,39.00,10
ORCB122,"Witch Hat Charm, Rose Gold",Charms,1200,39.00,8
ORCB123,Horse Charm,Charms,1200,49.00,10
ORCB124,"Clover Charm, Purple",Charms,1200,49.00,10
ORCB125,Basketball Charm,Charms,1200,39.00,9
ORCB126,Cactus Charm,Charms,1200,29.00,10
ORCB127,Rabbit and Strawberry Charm,Charms,1200,39.00,10
ORCB128,Ladybird Charm,Charms,1200,49.00,10
ORCB129,Two Cats and Moon Charm,Charms,1200,39.00,9
ORCB135,Medical Chart Charm,Charms,1200,39.00,10
ORCB136,"Camera Charm, Pink",Charms,1200,39.00,10
ORCB137,"Elephant Charm, Pink and Green",Charms,1200,39.00,10
ORCB138,Lucky Clover Heart Charm,Charms,1200,29.00,10
ORCB139,Sunflower Charm,Charms,1200,49.00,9
ORCB140,Rainbow Charm,Charms,1200,39.00,10
ORCB142,Mermaid Charm,Charms,1200,39.00,10
ORCB144,Best Friends Charm,Charms,1200,39.00,10
ORCB146,Ship's Wheel Charm,Charms,1200,29.00,10
ORCB149,Giraffe Charm,Charms,1200,39.00,10
ORCB150,"Lucky Star Charm, Gold",Charms,1200,39.00,9
ORCB151,"Sunflower Charm, Gold",Charms,1200,39.00,9
ORCB152,"Stars and Moon Charm, Blue",Charms,1200,49.00,10
ORCB153,Flower Heart Charm,Charms,1200,39.00,10
ORCB154,I Love My Family Charm,Charms,1200,39.00,10
ORCB155,Cocktail Charm,Charms,1200,39.00,10
ORCB156,Shopping Bag Charm,Charms,1200,39.00,10
ORCB157,Heartbeat Charm,Charms,1200,39.00,9
ORCB159,Cool Drink Charm,Charms,1200,39.00,10
ORCB160,Casino Charm,Charms,1200,39.00,10
ORCB161,Gift Box Charm,Charms,1200,39.00,10
ORCB162,Wristwatch Charm,Charms,1200,29.00,9
ORCB163,Hot Air Balloon Charm,Charms,1200,39.00,10
ORCB164,Birthday Cake Charm,Charms,1200,39.00,10
ORCB165,Ice Lolly Charm,Charms,1200,39.00,10
ORCB166,Carrot Charm,Charms,1200,39.00,10
ORCB168,Cow Charm,Charms,1200,39.00,10
ORCB169,Pony Charm,Charms,1200,39.00,10
ORCB170,Police Box Charm,Charms,1200,39.00,9
ORCB171,Umbrella Charm,Charms,1200,39.00,10
ORCB173,Planet Charm,Charms,1200,39.00,10
ORCB174,Handbag Charm,Charms,1200,39.00,10
ORCB175,Treble Clef Charm,Charms,1200,39.00,9
ORCB176,ORCB176,Charms,1200,,50
ORCB177,Ice Cream Cart Charm,Charms,1200,39.00,10
ORCB179,Panda Charm,Charms,1200,39.00,10
ORCB180,Crowned Shield Charm,Charms,1200,39.00,15
ORCB182,Puzzle Cube Charm,Charms,1200,39.00,16
ORCBB01-17,SPARKLE - SNAKE CHAIN,Charm Bracelets,2900,89.00,44
ORCBB01-19,SPARKLE - SNAKE CHAIN,Charm Bracelets,2900,89.00,44
ORCBB01-21,SPARKLE - SNAKE CHAIN,Charm Bracelets,2900,89.00,46
ORCB183-A,Letter A Charm,Charms,1200,29.00,10
ORCB183-B,Letter B Charm,Charms,1200,29.00,10
ORCB183-C,Letter C Charm,Charms,1200,29.00,10
ORCB183-D,Letter D Charm,Charms,1200,39.00,10
ORCB183-E,Letter E Charm,Charms,1200,29.00,10
ORCB183-F,Letter F Charm,Charms,1200,29.00,10
ORCB183-G,Letter G Charm,Charms,1200,29.00,10
ORCB183-H,Letter H Charm,Charms,1200,39.00,10
ORCB183-I,Letter I Charm,Charms,1200,29.00,10
ORCB183-J,Letter J Charm,Charms,1200,39.00,10
ORCB183-K,Letter K Charm,Charms,1200,39.00,10
ORCB183-L,Letter L Charm,Charms,1200,29.00,10
ORCB183-M,Letter M Charm,Charms,1200,29.00,10
ORCB183-N,Letter N Charm,Charms,1200,29.00,10
ORCB183-O,Letter O Charm,Charms,1200,29.00,10
ORCB183-P,Letter P Charm,Charms,1200,29.00,10
ORCB183-Q,Letter Q Charm,Charms,1200,29.00,10
ORCB183-R,Letter R Charm,Charms,1200,29.00,9
ORCB183-S,Letter S Charm,Charms,1200,29.00,10
ORCB183-T,Letter T Charm,Charms,1200,29.00,10
ORCB183-U,Letter U Charm,Charms,1200,29.00,10
ORCB183-V,Letter V Charm,Charms,1200,29.00,10
ORCB183-W,Letter W Charm,Charms,1200,29.00,10
