sku,category,unit_cost_usd,suggested_price_thb,margin_pct
ORGCB10-P,Charms,4.88,1200,87
ORGCB11-18K,Charms,6.21,1200,83
ORGCB12-18K,Charms,5.12,1200,86
ORGCB18,Charms,5.45,1200,85
ORGCB19-18K,Charms,6.13,1200,83
ORGCB19-P,Charms,6.13,1200,83
ORGCB20-18K,Charms,5.75,1200,84
ORGCB20-P,Charms,5.75,1200,84
ORGCB21-18K,Charms,7.65,1200,79
ORGCB21-P,Charms,7.65,1200,79
ORGCB22-18K,Charms,4.34,1200,88
ORGCB22-P,Charms,4.34,1200,88
ORGCB23-18K,Charms,4.99,1200,86
ORGCB23-P,Charms,4.99,1200,86
ORGCB24-18K,Charms,5.25,1200,86
ORGCB24-P,Charms,5.25,1200,86
ORGCB25,Charms,7.25,1200,80
ORGCB26-18K,Charms,5.10,1200,86
ORGCB26-P,Charms,5.10,1200,86
ORGCB27,Charms,4.02,1200,89
ORGCB28-18K,Charms,5.35,1200,85
ORGCB28-P,Charms,5.35,1200,85
ORGCB29-18K,Charms,4.21,1200,88
ORGCB29-P,Charms,4.21,1200,88
ORGCB30-18K,Charms,6.03,1200,83
ORGCB30-P,Charms,6.03,1200,83
ORGSB106-P-180,Bracelets,47.43,9900,84
ORGSB106-P-190,Bracelets,48.79,9900,84
ORGPN13,Necklaces,7.13,1900,88
ORGPB01,Bracelets,4.83,2500,94
ORGPB02,Bracelets,4.37,2500,94
ORGPE05,Earrings,5.52,1900,90
ORGPN14,Necklaces,11.51,1900,80
ORGPE06,Earrings,5.29,1900,91
ORPA0010,Spacers & Clips,5.92,900,78
ORPA034,Spacers & Clips,4.66,900,83
ORPA0035,Spacers & Clips,5.35,900,80
ORPA0094,Spacers & Clips,4.79,900,82
ORPA0097,Spacers & Clips,5.57,900,80
ORPA0123,Spacers & Clips,4.39,900,84
ORPA0132,Spacers & Clips,5.46,900,80
ORPA0142,Spacers & Clips,3.77,900,86
ORPA0147,Spacers & Clips,3.75,900,86
ORPA0149,Spacers & Clips,3.62,900,87
ORPA0107,Spacers & Clips,5.50,900,80
ORGCB51-WY,Charms,4.93,1200,86
ORGCB51-YL,Charms,4.93,1200,86
ORGCB51-YP,Charms,4.93,1200,86
ORGCB51-YR,Charms,4.93,1200,86
ORGCB51-P,Charms,4.93,1200,86
ORGCB52-L,Charms,7.56,1200,79
ORGCB53-L,Charms,7.60,1200,79
ORGCB54-L,Charms,7.65,1200,79
ORGCB55-L,Charms,7.73,1200,79
ORGCB56-B,Charms,7.57,1200,79
ORGCB57-Z,Charms,7.82,1200,78
ORGCB58-LVR,Charms,5.65,1200,84
ORCB32-Vir,Charms,4.31,1200,88
ORCB32-Tau,Charms,4.42,1200,88
ORCB32-Ari,Charms,4.26,1200,88
ORCB32-Sco,Charms,4.31,1200,88
ORCB32-Psc,Charms,4.17,1200,89
ORCB32-Cap,Charms,4.42,1200,88
ORCB32-Cnc,Charms,4.26,1200,88
ORCB32-Sgr,Charms,4.31,1200,88
ORCB32-Leo,Charms,4.31,1200,88
ORCB32-Gem,Charms,4.31,1200,88
ORCB32-Lib,Charms,4.35,1200,88
ORCB32-Agr,Charms,4.47,1200,88
ORCB33-R,Charms,3.50,1200,90
ORCB33-P,Charms,3.50,1200,90
ORCB33-Q,Charms,3.50,1200,90
ORCB33-W,Charms,3.50,1200,90
ORCB33-LV,Charms,3.50,1200,90
ORCB33-PL,Charms,3.50,1200,90
ORCB33-M,Charms,3.50,1200,90
ORCB33-G,Charms,3.50,1200,90
ORCB33-BL,Charms,3.50,1200,90
ORCB33-F,Charms,3.50,1200,90
ORCB33-X,Charms,3.50,1200,90
ORCB33-L,Charms,3.50,1200,90
ORSMN30,Necklaces,29.25,9900,90
ORSWE13,Earrings (Swarovski),27.21,9900,91
ORSMR69,Rings,21.01,9900,93
ORSMN45,Necklaces,23.34,9900,92
ORCB199,Charms,6.62,1200,82
ORCB200,Charms,4.60,1200,87
ORCB201,Charms,6.62,1200,82
ORCB202,Charms,5.34,1200,85
ORCB203,Charms,4.35,1200,88
ORCB204,Charms,5.40,1200,85
ORCB205,Charms,6.73,1200,81
ORCB206,Charms,5.24,1200,86
ORCB208,Charms,6.52,1200,82
ORCB209,Charms,6.45,1200,82
ORCB210,Charms,5.77,1200,84
ORCB211,Charms,6.62,1200,82
ORCB212,Charms,4.30,1200,88
ORCB213,Charms,6.49,1200,82
ORCB214,Charms,4.60,1200,87
ORCB215,Charms,6.09,1200,83
ORCB216,Charms,6.61,1200,82
ORCB217,Charms,7.13,1200,80
ORCB218,Charms,6.55,1200,82
ORCB219,Charms,6.15,1200,83
ORCB220,Charms,7.41,1200,80
ORCB221,Charms,6.35,1200,82
ORGSB114-195,Bracelets,48.68,9900,84
ORGSB114-205,Bracelets,50.63,9900,83
ORGCBB1-17-W,Charm Bracelets,22.15,2900,75
ORGCBB1-17-R,Charm Bracelets,22.15,2900,75
ORGCBB1-17-K,Charm Bracelets,22.15,2900,75
ORGCBB1-17-B,Charm Bracelets,22.15,2900,75
ORGCBB1-17-G,Charm Bracelets,22.15,2900,75
ORGCBB1-19-W,Charm Bracelets,23.95,2900,73
ORGCBB1-19-R,Charm Bracelets,23.95,2900,73
ORGCBB1-19-K,Charm Bracelets,23.95,2900,73
ORGCBB1-19-B,Charm Bracelets,23.95,2900,73
ORGCBB1-19-G,Charm Bracelets,23.95,2900,73
ORGCBB1-21-W,Charm Bracelets,26.85,2900,69
ORGCBB1-21-R,Charm Bracelets,26.85,2900,69
ORGCBB1-21-K,Charm Bracelets,26.85,2900,69
ORGCBB1-21-B,Charm Bracelets,26.85,2900,69
ORGSN305-W,Necklaces,13.99,3900,88
ORGSN305-B,Necklaces,13.99,3900,88
ORGSN305-C,Necklaces,13.99,3900,88
ORGCB56-L,Charms,7.57,1200,79
ORGCB56-R,Charms,7.57,1200,79
ORGCB177,Charms,5.62,1200,85
ORGCB175,Charms,5.62,1200,85
ORGCB109,Charms,15.58,3900,87
ORGCB110,Charms,3.05,1200,92
ORGCB182-1,Charms,8.33,1200,77
ORGCB182-2,Charms,8.33,1200,77
ORGCB182-3,Charms,8.33,1200,77
ORGCB182-5,Charms,8.33,1200,77
