"SKU","Pos","File","Path","Class","Dim","Bg"
"ORCBB01-21","3","IMG_0837.jpg","E:\HD PICTURE\Orloff customized design\CBB01\IMG_0837.jpg","PLAIN","1001x1001","206,2"
"ORCBB01-21","4","122.jpg","E:\HD PICTURE\Orloff customized design\CBB01\122.jpg","PLAIN","970x701","249,1"
"ORGCB05-P-18","1","GCB05.jpg","E:\HD PICTURE\Orloff customized design\GCB05\GCB05.jpg","PLAIN","1001x1001","254,8"
"ORGCB05-P-18","2","IMG_9370.jpg","E:\HD PICTURE\Orloff customized design\GCB05\IMG_9370.jpg","PLAIN","1001x1001","250,5"
"ORGCB05-P-18","3","IMG_0188.jpg","E:\HD PICTURE\Orloff customized design\GCB05\IMG_0188.jpg","PLAIN","1001x1001","199,6"
"ORGCB05-P-18","4","1.jpg","E:\HD PICTURE\Orloff customized design\GCB05\1.jpg","PLAIN","970x739","254,9"
"ORGCB06-P","1","IMG_0095.jpg","E:\HD PICTURE\Orloff customized design\GCB06\IMG_0095.jpg","PLAIN","1001x1001","250,5"
"ORGCB06-P","2","IMG_0135.jpg","E:\HD PICTURE\Orloff customized design\GCB06\IMG_0135.jpg","PLAIN","1001x1001","195,5"
"ORGCB06-P","3","IMG_0324.jpg","E:\HD PICTURE\Orloff customized design\GCB06\IMG_0324.jpg","PLAIN","1001x1001","180"
"ORGCB06-P","4","2.jpg","E:\HD PICTURE\Orloff customized design\GCB06\2.jpg","PLAIN","970x728","252,8"
"ORGCB07-18K","1","IMG_9307.jpg","E:\HD PICTURE\Orloff customized design\GCB07-18K\IMG_9307.jpg","PLAIN","1001x1001","254,8"
"ORGCB07-18K","2","IMG_3062.jpg","E:\HD PICTURE\Orloff customized design\GCB07-18K\IMG_3062.jpg","PLAIN","1001x1001","175,1"
"ORGCB07-18K","3","IMG_2287.jpg","E:\HD PICTURE\Orloff customized design\GCB07-18K\IMG_2287.jpg","MODEL","1001x1001","100,4"
"ORGCB07-18K","4","IMG_2049.jpg","E:\HD PICTURE\Orloff customized design\GCB07-18K\IMG_2049.jpg","MODEL","1001x1001","79,5"
"ORGCB07-P","1","GCB07-P.jpg","E:\HD PICTURE\Orloff customized design\GCB07-P\GCB07-P.jpg","PLAIN","1001x1002","254,8"
"ORGCB07-P","2","IMG_9307.jpg","E:\HD PICTURE\Orloff customized design\GCB07-P\IMG_9307.jpg","PLAIN","1001x1001","250,4"
"ORGCB07-P","3","IMG_0174.jpg","E:\HD PICTURE\Orloff customized design\GCB07-P\IMG_0174.jpg","PLAIN","1001x1001","216,5"
"ORGCB07-P","4","IMG_0330.jpg","E:\HD PICTURE\Orloff customized design\GCB07-P\IMG_0330.jpg","PLAIN","1001x1001","189,5"
"ORGCB08-18K","1","IMG_9384.jpg","E:\HD PICTURE\Orloff customized design\GCB08-18K\IMG_9384.jpg","PLAIN","1001x1001","255"
"ORGCB08-18K","2","IMG_3065.jpg","E:\HD PICTURE\Orloff customized design\GCB08-18K\IMG_3065.jpg","PLAIN","1001x1001","175,7"
"ORGCB08-18K","3","3.jpg","E:\HD PICTURE\Orloff customized design\GCB08-18K\3.jpg","PLAIN","970x747","253"
"ORGCB08-18K","4","1.jpg","E:\HD PICTURE\Orloff customized design\GCB08-18K\1.jpg","PLAIN","970x731","255"
"ORGCB08-P","1","GCB08-P.jpg","E:\HD PICTURE\Orloff customized design\GCB08-P\GCB08-P.jpg","PLAIN","1001x1001","254,9"
"ORGCB08-P","2","IMG_9384.jpg","E:\HD PICTURE\Orloff customized design\GCB08-P\IMG_9384.jpg","PLAIN","1001x1001","250,5"
"ORGCB08-P","3","IMG_0179.jpg","E:\HD PICTURE\Orloff customized design\GCB08-P\IMG_0179.jpg","PLAIN","1001x1001","207,4"
"ORGCB08-P","4","3.jpg","E:\HD PICTURE\Orloff customized design\GCB08-P\3.jpg","PLAIN","970x721","251,3"
"ORGCB09-P","1","GCB09.jpg","E:\HD PICTURE\Orloff customized design\GCB09\GCB09.jpg","PLAIN","1001x1001","254,8"
"ORGCB09-P","2","IMG_9366.jpg","E:\HD PICTURE\Orloff customized design\GCB09\IMG_9366.jpg","PLAIN","1001x1001","250,5"
"ORGCB09-P","3","IMG_0166.jpg","E:\HD PICTURE\Orloff customized design\GCB09\IMG_0166.jpg","PLAIN","1001x1001","208,7"
"ORGCB09-P","4","IMG_0313.jpg","E:\HD PICTURE\Orloff customized design\GCB09\IMG_0313.jpg","PLAIN","1001x1001","164,5"
"ORGCB10-P","1","GCB10.jpg","E:\HD PICTURE\Orloff customized design\GCB10\GCB10.jpg","PLAIN","1001x1001","254,8"
"ORGCB10-P","2","IMG_0159.jpg","E:\HD PICTURE\Orloff customized design\GCB10\IMG_0159.jpg","PLAIN","1001x1001","250,5"
"ORGCB10-P","3","IMG_0161.jpg","E:\HD PICTURE\Orloff customized design\GCB10\IMG_0161.jpg","PLAIN","1001x1001","197,1"
"ORGCB10-P","4","IMG_0315.jpg","E:\HD PICTURE\Orloff customized design\GCB10\IMG_0315.jpg","PLAIN","1001x1001","181,3"
"ORGCB109","1","GCB109.jpg","E:\HD PICTURE\GCB109\GCB109.jpg","PLAIN","1001x1001","255"
"ORGCB109","2","IMG_9210 (2).jpg","E:\HD PICTURE\GCB109\IMG_9210 (2).jpg","PLAIN","1001x1001","213,4"
"ORGCB109","3","GCB109-2.jpg","E:\HD PICTURE\GCB109\GCB109-2.jpg","PLAIN","1001x1001","207,8"
"ORGCB109","4","2.jpg","E:\HD PICTURE\GCB109\2.jpg","PLAIN","970x600","251,2"
"ORGCB11-18K","1","GCB11.jpg","E:\HD PICTURE\Orloff customized design\GCB11\GCB11.jpg","PLAIN","1001x1001","254,9"
"ORGCB11-18K","2","IMG_9377.jpg","E:\HD PICTURE\Orloff customized design\GCB11\IMG_9377.jpg","PLAIN","1001x1001","250,5"
"ORGCB11-18K","3","IMG_0138.jpg","E:\HD PICTURE\Orloff customized design\GCB11\IMG_0138.jpg","PLAIN","1001x1001","210,6"
"ORGCB11-18K","4","IMG_0481.jpg","E:\HD PICTURE\Orloff customized design\GCB11\IMG_0481.jpg","MODEL","1001x1001","137"
"ORGCB110","1","GCB110.jpg","E:\HD PICTURE\GCB110\GCB110.jpg","PLAIN","1001x1001","255"
"ORGCB110","2","IMG_9223 (2).jpg","E:\HD PICTURE\GCB110\IMG_9223 (2).jpg","PLAIN","1001x1001","193,1"
"ORGCB110","3","GCB110-2.jpg","E:\HD PICTURE\GCB110\GCB110-2.jpg","PLAIN","1001x1001","188"
"ORGCB110","4","4.jpg","E:\HD PICTURE\GCB110\4.jpg","PLAIN","970x600","251,2"
"ORGCB12-18K","1","GCB12.jpg","E:\HD PICTURE\Orloff customized design\GCB12\GCB12.jpg","PLAIN","1001x1001","254,9"
"ORGCB12-18K","2","IMG_9360.jpg","E:\HD PICTURE\Orloff customized design\GCB12\IMG_9360.jpg","PLAIN","1001x1001","250,5"
"ORGCB12-18K","3","IMG_0163.jpg","E:\HD PICTURE\Orloff customized design\GCB12\IMG_0163.jpg","PLAIN","1001x1001","204,6"
"ORGCB12-18K","4","IMG_0300.jpg","E:\HD PICTURE\Orloff customized design\GCB12\IMG_0300.jpg","MODEL","1001x1001","129,3"
"ORGCB175","1","GCB175.jpg","E:\HD PICTURE\GCB175\GCB175.jpg","PLAIN","1001x1001","255"
"ORGCB175","2","IMG_9230 (2).jpg","E:\HD PICTURE\GCB175\IMG_9230 (2).jpg","PLAIN","1001x1001","195,7"
"ORGCB175","3","GCB175-2.jpg","E:\HD PICTURE\GCB175\GCB175-2.jpg","PLAIN","1001x1001","190,8"
"ORGCB175","4","6.jpg","E:\HD PICTURE\GCB175\6.jpg","PLAIN","970x600","251,2"
"ORGCB177","1","GCB177.jpg","E:\HD PICTURE\GCB177\GCB177.jpg","PLAIN","1001x1001","255"
"ORGCB177","2","IMG_9228 (2).jpg","E:\HD PICTURE\GCB177\IMG_9228 (2).jpg","PLAIN","1001x1001","191,3"
"ORGCB177","3","GCB177-2.jpg","E:\HD PICTURE\GCB177\GCB177-2.jpg","PLAIN","1001x1001","186,4"
"ORGCB177","4","5.jpg","E:\HD PICTURE\GCB177\5.jpg","PLAIN","970x600","251,2"
"ORGCB18","1","GCB18.jpg","E:\HD PICTURE\Orloff customized design\GCB18\GCB18.jpg","PLAIN","1001x1001","254,8"
"ORGCB18","2","IMG_9284.jpg","E:\HD PICTURE\Orloff customized design\GCB18\IMG_9284.jpg","PLAIN","1001x1001","250,4"
"ORGCB18","3","IMG_0150.jpg","E:\HD PICTURE\Orloff customized design\GCB18\IMG_0150.jpg","PLAIN","1001x1001","195,7"
"ORGCB18","4","IMG_0327.jpg","E:\HD PICTURE\Orloff customized design\GCB18\IMG_0327.jpg","PLAIN","1001x1001","186,7"
"ORGCB181","1","IMG_9474.jpg","E:\HD PICTURE\GCB181\IMG_9474.jpg","PLAIN","1001x1001","254,9"
"ORGCB181","2","IMG_9474-S.jpg","E:\HD PICTURE\GCB181\IMG_9474-S.jpg","PLAIN","1001x1001","250,4"
"ORGCB181","3","IMG_9539.jpg","E:\HD PICTURE\GCB181\IMG_9539.jpg","PLAIN","1001x1001","200,6"
"ORGCB181","4","IMG_9539-S.jpg","E:\HD PICTURE\GCB181\IMG_9539-S.jpg","PLAIN","1001x1001","197"
"ORGCB182-1","1","IMG_9481.jpg","E:\HD PICTURE\GCB182-1\IMG_9481.jpg","PLAIN","1001x1001","254,8"
"ORGCB182-1","2","IMG_9512-S.jpg","E:\HD PICTURE\GCB182-1\IMG_9512-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB182-1","3","IMG_9481-S.jpg","E:\HD PICTURE\GCB182-1\IMG_9481-S.jpg","PLAIN","1001x1001","250,2"
"ORGCB182-1","4","IMG_95431.jpg","E:\HD PICTURE\GCB182-1\IMG_95431.jpg","PLAIN","1001x1001","197,5"
"ORGCB182-2","1","IMG_9481.jpg","E:\HD PICTURE\GCB182-2\IMG_9481.jpg","PLAIN","1001x1001","254,8"
"ORGCB182-2","2","IMG_9509-S.jpg","E:\HD PICTURE\GCB182-2\IMG_9509-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB182-2","3","IMG_9481-S.jpg","E:\HD PICTURE\GCB182-2\IMG_9481-S.jpg","PLAIN","1001x1001","250,2"
"ORGCB182-2","4","IMG_95436.jpg","E:\HD PICTURE\GCB182-2\IMG_95436.jpg","PLAIN","1001x1001","197,6"
"ORGCB182-3","1","IMG_9481.jpg","E:\HD PICTURE\GCB182-3\IMG_9481.jpg","PLAIN","1001x1001","254,8"
"ORGCB182-3","2","IMG_9503-S.jpg","E:\HD PICTURE\GCB182-3\IMG_9503-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB182-3","3","IMG_9481-S.jpg","E:\HD PICTURE\GCB182-3\IMG_9481-S.jpg","PLAIN","1001x1001","250,2"
"ORGCB182-3","4","IMG_95432.jpg","E:\HD PICTURE\GCB182-3\IMG_95432.jpg","PLAIN","1001x1001","197,6"
"ORGCB182-5","1","IMG_9481.jpg","E:\HD PICTURE\GCB182-5\IMG_9481.jpg","PLAIN","1001x1001","254,8"
"ORGCB182-5","2","IMG_9504-S.jpg","E:\HD PICTURE\GCB182-5\IMG_9504-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB182-5","3","IMG_9481-S.jpg","E:\HD PICTURE\GCB182-5\IMG_9481-S.jpg","PLAIN","1001x1001","250,2"
"ORGCB182-5","4","IMG_95433.jpg","E:\HD PICTURE\GCB182-5\IMG_95433.jpg","PLAIN","1001x1001","197,3"
"ORGCB182-6","1","IMG_9481.jpg","E:\HD PICTURE\GCB182-6\IMG_9481.jpg","PLAIN","1001x1001","254,8"
"ORGCB182-6","2","IMG_9507-S.jpg","E:\HD PICTURE\GCB182-6\IMG_9507-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB182-6","3","IMG_9481-S.jpg","E:\HD PICTURE\GCB182-6\IMG_9481-S.jpg","PLAIN","1001x1001","250,2"
"ORGCB182-6","4","IMG_95435.jpg","E:\HD PICTURE\GCB182-6\IMG_95435.jpg","PLAIN","1001x1001","198,5"
"ORGCB182-7","1","IMG_9481.jpg","E:\HD PICTURE\GCB182-7\IMG_9481.jpg","PLAIN","1001x1001","254,8"
"ORGCB182-7","2","IMG_9505-S.jpg","E:\HD PICTURE\GCB182-7\IMG_9505-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB182-7","3","IMG_9481-S.jpg","E:\HD PICTURE\GCB182-7\IMG_9481-S.jpg","PLAIN","1001x1001","250,2"
"ORGCB182-7","4","IMG_95434.jpg","E:\HD PICTURE\GCB182-7\IMG_95434.jpg","PLAIN","1001x1001","197,6"
"ORGCB182-8","1","IMG_9481.jpg","E:\HD PICTURE\GCB182-8\IMG_9481.jpg","PLAIN","1001x1001","254,8"
"ORGCB182-8","2","IMG_9511-S.jpg","E:\HD PICTURE\GCB182-8\IMG_9511-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB182-8","3","IMG_9481-S.jpg","E:\HD PICTURE\GCB182-8\IMG_9481-S.jpg","PLAIN","1001x1001","250,2"
"ORGCB182-8","4","IMG_95437.jpg","E:\HD PICTURE\GCB182-8\IMG_95437.jpg","PLAIN","1001x1001","197,9"
"ORGCB184-1","1","IMG_9489.jpg","E:\HD PICTURE\GCB184-1\IMG_9489.jpg","PLAIN","1001x1001","254,8"
"ORGCB184-1","2","IMG_9494-S.jpg","E:\HD PICTURE\GCB184-1\IMG_9494-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB184-1","3","IMG_9489-S.jpg","E:\HD PICTURE\GCB184-1\IMG_9489-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB184-1","4","IMG_95413.jpg","E:\HD PICTURE\GCB184-1\IMG_95413.jpg","PLAIN","1001x1001","187"
"ORGCB184-2","1","IMG_9489.jpg","E:\HD PICTURE\GCB184-2\IMG_9489.jpg","PLAIN","1001x1001","254,8"
"ORGCB184-2","2","IMG_9492-S.jpg","E:\HD PICTURE\GCB184-2\IMG_9492-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB184-2","3","IMG_9489-S.jpg","E:\HD PICTURE\GCB184-2\IMG_9489-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB184-2","4","IMG_95412.jpg","E:\HD PICTURE\GCB184-2\IMG_95412.jpg","PLAIN","1001x1001","187"
"ORGCB184-3","1","IMG_9489.jpg","E:\HD PICTURE\GCB184-3\IMG_9489.jpg","PLAIN","1001x1001","254,8"
"ORGCB184-3","2","IMG_9497-S.jpg","E:\HD PICTURE\GCB184-3\IMG_9497-S.jpg","PLAIN","1001x1001","250,4"
"ORGCB184-3","3","IMG_9489-S.jpg","E:\HD PICTURE\GCB184-3\IMG_9489-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB184-3","4","IMG_95415.jpg","E:\HD PICTURE\GCB184-3\IMG_95415.jpg","PLAIN","1001x1001","186,8"
"ORGCB184-4","1","IMG_9489.jpg","E:\HD PICTURE\GCB184-4\IMG_9489.jpg","PLAIN","1001x1001","254,8"
"ORGCB184-4","2","IMG_9496-S.jpg","E:\HD PICTURE\GCB184-4\IMG_9496-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB184-4","3","IMG_9489-S.jpg","E:\HD PICTURE\GCB184-4\IMG_9489-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB184-4","4","IMG_95414.jpg","E:\HD PICTURE\GCB184-4\IMG_95414.jpg","PLAIN","1001x1001","186,9"
"ORGCB184-5","1","IMG_9489.jpg","E:\HD PICTURE\GCB184-5\IMG_9489.jpg","PLAIN","1001x1001","254,8"
"ORGCB184-5","2","IMG_9500-S.jpg","E:\HD PICTURE\GCB184-5\IMG_9500-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB184-5","3","IMG_9489-S.jpg","E:\HD PICTURE\GCB184-5\IMG_9489-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB184-5","4","IMG_95416.jpg","E:\HD PICTURE\GCB184-5\IMG_95416.jpg","PLAIN","1001x1001","187,5"
"ORGCB184-6","1","IMG_9489.jpg","E:\HD PICTURE\GCB184-6\IMG_9489.jpg","PLAIN","1001x1001","254,8"
"ORGCB184-6","2","IMG_9502-S.jpg","E:\HD PICTURE\GCB184-6\IMG_9502-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB184-6","3","IMG_9489-S.jpg","E:\HD PICTURE\GCB184-6\IMG_9489-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB184-6","4","IMG_95417.jpg","E:\HD PICTURE\GCB184-6\IMG_95417.jpg","PLAIN","1001x1001","187"
"ORGCB184-7","1","IMG_9489.jpg","E:\HD PICTURE\GCB184-7\IMG_9489.jpg","PLAIN","1001x1001","254,8"
"ORGCB184-7","2","IMG_9493-S.jpg","E:\HD PICTURE\GCB184-7\IMG_9493-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB184-7","3","IMG_9489-S.jpg","E:\HD PICTURE\GCB184-7\IMG_9489-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB184-7","4","IMG_95411.jpg","E:\HD PICTURE\GCB184-7\IMG_95411.jpg","PLAIN","1001x1001","186,7"
"ORGCB185-14K","1","IMG_9441.jpg","E:\HD PICTURE\GCB185-14K\IMG_9441.jpg","PLAIN","1001x1001","254,9"
"ORGCB185-14K","2","IMG_9444-S.jpg","E:\HD PICTURE\GCB185-14K\IMG_9444-S.jpg","PLAIN","1001x1001","250,4"
"ORGCB185-14K","3","IMG_9441-S.jpg","E:\HD PICTURE\GCB185-14K\IMG_9441-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB185-14K","4","IMG_9537.jpg","E:\HD PICTURE\GCB185-14K\IMG_9537.jpg","PLAIN","1001x1001","171,7"
"ORGCB186-1","1","IMG_9468.jpg","E:\HD PICTURE\GCB186-1\IMG_9468.jpg","PLAIN","1001x1001","254,8"
"ORGCB186-1","2","IMG_9471-S.jpg","E:\HD PICTURE\GCB186-1\IMG_9471-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB186-1","3","IMG_9468-S.jpg","E:\HD PICTURE\GCB186-1\IMG_9468-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB186-1","4","IMG_9525.jpg","E:\HD PICTURE\GCB186-1\IMG_9525.jpg","PLAIN","1001x1001","189,1"
"ORGCB186-2","1","IMG_9468.jpg","E:\HD PICTURE\GCB186-2\IMG_9468.jpg","PLAIN","1001x1001","254,8"
"ORGCB186-2","2","IMG_9469-S.jpg","E:\HD PICTURE\GCB186-2\IMG_9469-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB186-2","3","IMG_9468-S.jpg","E:\HD PICTURE\GCB186-2\IMG_9468-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB186-2","4","IMG_9524.jpg","E:\HD PICTURE\GCB186-2\IMG_9524.jpg","PLAIN","1001x1001","191,4"
"ORGCB187-14K-1","1","IMG_9450.jpg","E:\HD PICTURE\GCB187-14K-1\IMG_9450.jpg","PLAIN","1001x1001","254,8"
"ORGCB187-14K-1","2","IMG_9454-S.jpg","E:\HD PICTURE\GCB187-14K-1\IMG_9454-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB187-14K-1","3","IMG_9450-S.jpg","E:\HD PICTURE\GCB187-14K-1\IMG_9450-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB187-14K-1","4","IMG_9532.jpg","E:\HD PICTURE\GCB187-14K-1\IMG_9532.jpg","PLAIN","1001x1001","192,1"
"ORGCB187-14K-2","1","IMG_9459.jpg","E:\HD PICTURE\GCB187-14K-2\IMG_9459.jpg","PLAIN","1001x1001","255"
"ORGCB187-14K-2","2","IMG_9450.jpg","E:\HD PICTURE\GCB187-14K-2\IMG_9450.jpg","PLAIN","1001x1001","254,8"
"ORGCB187-14K-2","3","IMG_9459-S.jpg","E:\HD PICTURE\GCB187-14K-2\IMG_9459-S.jpg","PLAIN","1001x1001","250,5"
"ORGCB187-14K-2","4","IMG_9450-S.jpg","E:\HD PICTURE\GCB187-14K-2\IMG_9450-S.jpg","PLAIN","1001x1001","250,3"
"ORGCB19-18K","1","GCB19-18K.jpg","E:\HD PICTURE\Orloff customized design\GCB19-18K\GCB19-18K.jpg","PLAIN","1001x1001","254,8"
"ORGCB19-18K","2","IMG_9316.jpg","E:\HD PICTURE\Orloff customized design\GCB19-18K\IMG_9316.jpg","PLAIN","1001x1001","250,5"
"ORGCB19-18K","3","IMG_0206.jpg","E:\HD PICTURE\Orloff customized design\GCB19-18K\IMG_0206.jpg","PLAIN","1001x1001","212,4"
"ORGCB19-18K","4","1.jpg","E:\HD PICTURE\Orloff customized design\GCB19-18K\1.jpg","PLAIN","970x627","249,5"
"ORGCB19-P","1","IMG_9316.jpg","E:\HD PICTURE\Orloff customized design\GCB19-P\IMG_9316.jpg","PLAIN","1001x1001","254,7"
"ORGCB19-P","2","IMG_1925.jpg","E:\HD PICTURE\Orloff customized design\GCB19-P\IMG_1925.jpg","PLAIN","1001x1001","172,7"
"ORGCB19-P","3","1.jpg","E:\HD PICTURE\Orloff customized design\GCB19-P\1.jpg","PLAIN","970x652","254,8"
"ORGCB19-P","4","IMG_2143.jpg","E:\HD PICTURE\Orloff customized design\GCB19-P\IMG_2143.jpg","MODEL","1001x1001","104,9"
"ORGCB20-18K","1","GCB20-18K.jpg","E:\HD PICTURE\Orloff customized design\GCB20-18K\GCB20-18K.jpg","PLAIN","1001x1001","254,9"
"ORGCB20-18K","2","IMG_9335.jpg","E:\HD PICTURE\Orloff customized design\GCB20-18K\IMG_9335.jpg","PLAIN","1001x1001","250,5"
"ORGCB20-18K","3","IMG_0148.jpg","E:\HD PICTURE\Orloff customized design\GCB20-18K\IMG_0148.jpg","PLAIN","1001x1001","195,5"
"ORGCB20-18K","4","1.jpg","E:\HD PICTURE\Orloff customized design\GCB20-18K\1.jpg","PLAIN","970x708","255"
"ORGCB20-P","1","IMG_9335.jpg","E:\HD PICTURE\Orloff customized design\GCB20-P\IMG_9335.jpg","PLAIN","1001x1001","254,3"
"ORGCB20-P","2","IMG_1930.jpg","E:\HD PICTURE\Orloff customized design\GCB20-P\IMG_1930.jpg","PLAIN","1001x1001","167,7"
"ORGCB20-P","3","1.jpg","E:\HD PICTURE\Orloff customized design\GCB20-P\1.jpg","PLAIN","970x631","254,5"
"ORGCB20-P","4","IMG_2172.jpg","E:\HD PICTURE\Orloff customized design\GCB20-P\IMG_2172.jpg","MODEL","1001x1001","70,7"
"ORGCB21-18K","1","GCB21-18K.jpg","E:\HD PICTURE\Orloff customized design\GCB21-18K\GCB21-18K.jpg","PLAIN","3456x3457","255"
"ORGCB21-18K","2","IMG_0594.jpg","E:\HD PICTURE\Orloff customized design\GCB21-18K\IMG_0594.jpg","PLAIN","1001x1001","250,5"
"ORGCB21-18K","3","IMG_0197.jpg","E:\HD PICTURE\Orloff customized design\GCB21-18K\IMG_0197.jpg","PLAIN","1001x1001","209,6"
"ORGCB21-18K","4","1.jpg","E:\HD PICTURE\Orloff customized design\GCB21-18K\1.jpg","PLAIN","970x715","255"
"ORGCB21-P","1","IMG_0594.jpg","E:\HD PICTURE\Orloff customized design\GCB21-P\IMG_0594.jpg","PLAIN","1001x1001","254,6"
"ORGCB21-P","2","IMG_1923.jpg","E:\HD PICTURE\Orloff customized design\GCB21-P\IMG_1923.jpg","PLAIN","1001x1001","176,8"
"ORGCB21-P","3","1.jpg","E:\HD PICTURE\Orloff customized design\GCB21-P\1.jpg","PLAIN","970x653","254,7"
"ORGCB21-P","4","IMG_2125.jpg","E:\HD PICTURE\Orloff customized design\GCB21-P\IMG_2125.jpg","MODEL","1001x1001","76,5"
"ORGCB22-18K","1","GCB22-18K.jpg","E:\HD PICTURE\Orloff customized design\GCB22-18K\GCB22-18K.jpg","PLAIN","1001x1001","254,9"
"ORGCB22-18K","2","IMG_0060.jpg","E:\HD PICTURE\Orloff customized design\GCB22-18K\IMG_0060.jpg","PLAIN","1001x1001","250,5"
"ORGCB22-18K","3","IMG_0153.jpg","E:\HD PICTURE\Orloff customized design\GCB22-18K\IMG_0153.jpg","PLAIN","1001x1001","195,3"
"ORGCB22-18K","4","1.jpg","E:\HD PICTURE\Orloff customized design\GCB22-18K\1.jpg","PLAIN","970x633","255"
"ORGCB22-P","1","IMG_0060.jpg","E:\HD PICTURE\Orloff customized design\GCB22-P\IMG_0060.jpg","PLAIN","1001x1001","254,9"
"ORGCB22-P","2","IMG_0060.jpg","E:\HD PICTURE\GCB22-P\IMG_0060.jpg","PLAIN","1001x1001","254,9"
"ORGCB22-P","3","IMG_3409.jpg","E:\HD PICTURE\Orloff customized design\GCB22-P\IMG_3409.jpg","PLAIN","1001x1001","171,1"
"ORGCB22-P","4","IMG_3409.jpg","E:\HD PICTURE\GCB22-P\IMG_3409.jpg","PLAIN","1001x1001","171,1"
"ORGCB23-18K","1","GCB23-18K.jpg","E:\HD PICTURE\Orloff customized design\GCB23-18K\GCB23-18K.jpg","PLAIN","1001x1001","254,8"
"ORGCB23-18K","2","IMG_9324.jpg","E:\HD PICTURE\Orloff customized design\GCB23-18K\IMG_9324.jpg","PLAIN","1001x1001","250,5"
"ORGCB23-18K","3","IMG_0144.jpg","E:\HD PICTURE\Orloff customized design\GCB23-18K\IMG_0144.jpg","PLAIN","1001x1001","197,3"
"ORGCB23-18K","4","2.jpg","E:\HD PICTURE\Orloff customized design\GCB23-18K\2.jpg","PLAIN","970x751","252,1"
"ORGCB23-P","1","IMG_9324.jpg","E:\HD PICTURE\Orloff customized design\GCB23-P\IMG_9324.jpg","PLAIN","1001x1001","252,8"
