"File","Dist"
"img_0445.jpg","67,75"
"img_0446.jpg","79,01"
"img_0447.jpg","83,03"
"img_0448.jpg","76,92"
"img_0449.jpg","74,06"
"img_0450.jpg","69,63"
"img_0451.jpg","72,45"
"img_0452.jpg","69,25"
"img_0453.jpg","65,58"
"img_0454.jpg","66,94"
"img_0455.jpg","66,07"
"img_0456.jpg","65,63"
"img_0457.jpg","65,84"
"img_0458.jpg","65,46"
"img_0459.jpg","65,79"
"img_0460.jpg","64,89"
"img_0461.jpg","70,28"
"img_0462.jpg","59,32"
"img_0463.jpg","66,76"
"img_0464.jpg","66,39"
"img_0465.jpg","66,25"
"img_0466.jpg","66,71"
"img_0467.jpg","66,48"
"img_0468.jpg","55,13"
"img_0469.jpg","55,12"
"img_0470.jpg","224,31"
"img_0471.jpg","60,61"
"img_0472.jpg","55,12"
"img_0473.jpg","55,12"
"img_0474.jpg","55,12"
"img_0475.jpg","55,12"
"img_0476.jpg","55,12"
"img_0477.jpg","55,12"
"img_0478.jpg","55,12"
"img_0479.jpg","55,12"
"img_0480.jpg","55,12"
"img_0481.jpg","55,52"
"img_0482.jpg","55,22"
"img_0483.jpg","55,12"
"img_0484.jpg","55,39"
"img_0485.jpg","55,12"
"img_0486.jpg","55,12"
"img_0487.jpg","54,55"
"img_0488.jpg","55,12"
"img_0489.jpg","55,12"
"img_0490.jpg","55,12"
"img_0491.jpg","59,04"
"img_0492.jpg","59,82"
"img_0493.jpg","54,54"
"img_0494.jpg","58,44"
"img_0495.jpg","55,12"
"img_0496.jpg","57,23"
"img_0497.jpg","57,13"
"img_0498.jpg","57"
"img_0499.jpg","57,06"
"img_0500.jpg","56,62"
"img_0501.jpg","55,16"
"img_0502.jpg","58,84"
"img_0503.jpg","55,13"
"img_0504.jpg","55,79"
"img_0505.jpg","62,01"
"img_0506.jpg","55,12"
"img_0507.jpg","55,12"
"img_0508.jpg","55,12"
"img_0509.jpg","55,12"
"img_0510.jpg","55,38"
"img_0511.jpg","55,66"
"img_0512.jpg","56,58"
"img_0513.jpg","55,55"
"img_0514.jpg","55,28"
"img_0515.jpg","55,63"
"img_0516.jpg","55,77"
"img_0517.jpg","54,36"
"img_0518.jpg","55,32"
"img_0519.jpg","54,64"
"img_0520.jpg","55,19"
"img_0521.jpg","46,46"
"img_0522.jpg","56,11"
"img_0523.jpg","59,5"
"img_0524.jpg","54,2"
"img_0525.jpg","55,37"
"img_0526.jpg","55,12"
"img_0527.jpg","55,12"
"img_0528.jpg","55,57"
"img_0529.jpg","55,17"
"img_0530.jpg","54,97"
"img_0531.jpg","53,76"
"img_0532.jpg","55,12"
"img_0533.jpg","82,21"
